-1782819.3032425940	  inf
-1354071.0782381005	2.40489e-01
-1350964.0307997100	2.29460e-03
-1351482.4407593070	-3.83733e-04
-1349935.7814802753	1.14442e-03
-1350774.0251025334	-6.20951e-04
-1351408.9943084153	-4.70078e-04
-1351801.5709094107	-2.90494e-04
-1352052.9049541401	-1.85925e-04
-1352059.3493376079	-4.76637e-06
-1351893.4664857653	1.22689e-04
-1351551.8583572630	2.52689e-04
-1350761.3580705593	5.84883e-04
-1349961.7621367788	5.91959e-04
-1349185.7606997159	5.74832e-04
-1348398.7093048021	5.83353e-04
-1347375.6277440772	7.58738e-04
-1346343.3055946443	7.66172e-04
-1345273.0551148730	7.94931e-04
-1344097.7915374495	8.73625e-04
-1343104.2802497209	7.39166e-04
-1342055.5260617891	7.80843e-04
-1340986.2743915773	7.96727e-04
-1339981.8483119507	7.49020e-04
-1338914.2972920446	7.96691e-04
-1337935.5107632724	7.31030e-04
-1336911.4852181347	7.65377e-04
-1335928.5164304001	7.35253e-04
-1334978.2202705964	7.11338e-04
-1334089.3731101782	6.65814e-04
-1333095.0346472538	7.45331e-04
-1332184.0518700324	6.83359e-04
-1331292.6226091431	6.69149e-04
-1330448.8023116463	6.33835e-04
-1329611.3243157396	6.29470e-04
-1328775.9968694835	6.28249e-04
-1328018.5904773588	5.70003e-04
-1327285.9704124415	5.51664e-04
-1326565.7620636672	5.42617e-04
-1325967.6407723981	4.50879e-04
-1325356.9581358833	4.60556e-04
-1324918.6535159813	3.30707e-04
-1324477.3404308700	3.33087e-04
-1324071.4433366279	3.06458e-04
-1323735.1390106631	2.53993e-04
-1323460.4774181747	2.07490e-04
-1323233.5460644225	1.71468e-04
-1322977.3446882542	1.93618e-04
-1322769.0756139986	1.57425e-04
-1322535.8779642875	1.76295e-04
-1322305.8070723400	1.73962e-04
-1322083.6507585752	1.68007e-04
-1321893.3420645231	1.43946e-04
-1321783.3446968214	8.32120e-05
